Timestamp,Reading,Unit,LDC_Val_2,LDC_Val_1
2024-01-25 19:44:18.578551,4.23,mm,-2339,-2253
2024-01-25 19:44:18.841153,4.15,mm,-2494,-2400
2024-01-25 19:44:18.919155,4.06,mm,-2530,-2434
2024-01-25 19:44:19.473758,3.94,mm,-2696,-2592
2024-01-25 19:44:19.616918,3.91,mm,-2899,-2787
2024-01-25 19:44:20.029113,3.79,mm,-3117,-2997
2024-01-25 19:44:20.390572,3.67,mm,-3344,-3217
2024-01-25 19:44:20.502094,3.61,mm,-3344,-3217
2024-01-25 19:44:20.581561,3.51,mm,-3417,-3279
2024-01-25 19:44:20.785422,3.45,mm,-3583,-3442
2024-01-25 19:44:21.024571,3.35,mm,-3722,-3570
2024-01-25 19:44:21.310224,3.32,mm,-3959,-3812
2024-01-25 19:44:21.500962,3.21,mm,-4085,-3916
2024-01-25 19:44:21.801974,3.16,mm,-4359,-4176
2024-01-25 19:44:22.007021,3.05,mm,-4447,-4252
2024-01-25 19:44:22.298732,3.00,mm,-4709,-4504
2024-01-25 19:44:22.514480,2.92,mm,-4936,-4723
2024-01-25 19:44:22.752735,2.83,mm,-5123,-4888
2024-01-25 19:44:23.131024,2.77,mm,-5565,-5332
2024-01-25 19:44:23.591366,2.66,mm,-5893,-5647
2024-01-25 19:44:23.876280,2.64,mm,-6060,-5804
2024-01-25 19:44:24.050519,2.58,mm,-6074,-5819
2024-01-25 19:44:24.090482,2.54,mm,-6076,-5819
2024-01-25 19:44:24.442807,2.53,mm,-6376,-6102
2024-01-25 19:44:24.527363,2.47,mm,-6375,-6100
2024-01-25 19:44:24.858978,2.46,mm,-6600,-6325
2024-01-25 19:44:25.147321,2.44,mm,-6909,-6640
2024-01-25 19:44:25.227336,2.39,mm,-6976,-6667
2024-01-25 19:44:25.498109,2.31,mm,-6989,-6680
2024-01-25 19:44:25.970186,2.33,mm,-7052,-6743
2024-01-25 19:44:26.191493,2.31,mm,-7086,-6783
2024-01-25 19:44:26.366239,2.32,mm,-7198,-6880
2024-01-25 19:44:26.630539,2.30,mm,-7451,-7116
2024-01-25 19:44:26.978903,2.26,mm,-7606,-7280
2024-01-25 19:44:27.067430,2.22,mm,-7733,-7383
2024-01-25 19:44:27.393873,2.19,mm,-8011,-7660
2024-01-25 19:44:27.694972,2.14,mm,-8300,-7942
2024-01-25 19:44:27.822087,2.12,mm,-8361,-7992
2024-01-25 19:44:28.107573,2.07,mm,-8428,-8039
2024-01-25 19:44:28.392198,2.04,mm,-8638,-8227
2024-01-25 19:44:28.667013,2.04,mm,-8753,-8339
2024-01-25 19:44:28.882222,2.04,mm,-8845,-8447
2024-01-25 19:44:29.261707,2.00,mm,-9304,-8875
2024-01-25 19:44:29.362568,1.97,mm,-9304,-8881
2024-01-25 19:44:29.602310,1.94,mm,-9480,-9062
2024-01-25 19:44:29.992196,1.91,mm,-9893,-9427
2024-01-25 19:44:30.117831,1.89,mm,-9964,-9497
2024-01-25 19:44:30.372381,1.84,mm,-10169,-9665
2024-01-25 19:44:30.762422,1.83,mm,-10368,-9861
2024-01-25 19:44:31.132805,1.80,mm,-10335,-9830
2024-01-25 19:44:31.260755,1.80,mm,-10311,-9837
